"id","X2.hydroxy.2.methylbutyrate..2H2MB.","X2.hydroxyglutarate..2.HG.","X2.isopropylmalate..2.IPM.","X2.ketohexanoate..2.KH.","X2.methylacetoacetate..2.MAA.","X2.oxobutanoate..2.OB.","X3_methyl_2_oxobutyrate..3M2OB.","X2.oxodipate..2.OD.","X3.phosphoglycerate..3.PG.","X5.hydroxyindoleacetate..5.HIAA.","Acetylphosphate..ACP.","Adenosine.diphosphate","Allantoin","X2.aminoadipate..AAD.","Ascorbic.acid","Adenosine.triphosphate","CholSO4","Cyclic.adenosine.monophosphate..cAMP.","Cholic.acid","Citraconic.acid","Deoxycholate..DCA.","Fructose.6.phosphate","oxidized.glutathione..GSSG.","reduced.glutathione..GSH.","Glyceraldehyde","Guanidoacetate..GAA.","Homocysteate..HCA.","Homogentisate","Hydroxyisocaproate..HICA.","Isocitrate","Kynurenine","Malate","Fumarate","Malonyl.coA","N.Acetyl.L.Ala","Phosphoenolpyruvate..PEP.","Pyroglutamic.acid","Pyruvate","S.adenosyl.L.homocysteine","Taurine","Taurodeoxycholate..TDCA.","Thymidine","Uracil","Uridine","Xanthosine","Xanthurenate..XAN.","Adenosine.monophosphate..AMP.","Biotin","Erythrose.4.phosphate..E4P.","Glyceraldehyde.3.phosphate..G3P.","Inosine","Malonate","N.carbomyl.aspartate","Niacinamide","Oxaloacetate","Riboflavin.5..monophosphate..R5.MP.","Tropisetron","Ureidopropionic.acid","Uridine.5..diphosphate..U5.dP.","Glucose.6.phosphate","Succinate","Lactate","Glucose","Citrate","Lactulose","Rhamnose","Urate","X3.hydroxybutyrate..3.HB."
"C59.1",17.7626204794494,19.5573205728165,17.0790346666551,14.8410360335843,14.9552846695959,20.5651982926605,20.6639261654512,20.9720482007227,15.3974996502681,19.6860828136096,14.3786099883094,18.1041610778492,23.0922913433811,17.7964036236084,18.2898027152633,18.7224487628371,24.8767399948351,15.3081680161435,17.3587077529026,18.6411721528813,17.7406093112838,19.5670890875729,18.5331138371739,15.6643862278562,18.8087930039782,19.3811423157163,16.1715415969099,16.1173825305783,21.6463309259693,20.9970477057901,16.6873727540123,22.8714804811047,19.4430289060683,16.2032480902959,18.6104261291103,15.3142688131681,14.5598891059646,19.5265657476171,15.1432588810227,23.1545906149972,16.7498536783577,20.6013668967304,19.3296062064314,18.2877076860296,14.4068898561236,18.6103735619119,19.6672064401159,18.1414591338186,16.2749762877409,17.5369841412172,13.3495836295063,23.0459790352278,18.9573891311641,13.7387524994372,19.9459437602505,15.241989116026,16.2761490439823,15.2993585580357,13.7915826906129,20.5069316133287,19.8734578944056,26.3769875035988,15.8637313634498,26.546286910652,16.4111210195932,16.0300855162501,21.9622834519621,19.9156706960472
"C59.2",17.0881215932442,19.1309124358108,17.026614586421,14.4824394230506,15.1319502185539,20.8440233273519,20.493911230802,21.2863917907484,16.0991437480491,19.4573942520442,14.4545847300684,20.2797608425759,23.0144854595962,18.0036828521629,18.1984988419426,20.7552427184561,25.0710647172001,15.6823408604326,19.4202190127901,18.4633260955476,17.9679603538505,19.960549778705,18.0299525292839,14.7576411106528,19.0526691213101,20.178623741071,16.5420848779144,17.52701312611,21.5241683925683,20.698053842139,15.9937136169744,22.722070758862,19.2580687165532,16.0803766237942,18.5992249509659,16.1334957696684,14.2793056297413,19.56168144775,15.1210514945219,23.5566821523936,16.2987401984552,20.3322394560557,19.6102672782593,19.675215316148,14.9242806385367,18.6946714088723,20.7419230240119,19.4813489857691,16.4065475740798,17.6006756339235,14.0203141945423,24.2045435378465,18.7648959229708,14.0045103885452,19.6899460454394,14.9881363599769,16.3064677501014,16.1467538073848,15.1720446946435,20.0929235270468,20.9335624108714,26.5330260876922,15.8834836484092,26.5687604810774,15.2486416910719,16.2476359229467,23.4580321200287,21.0046122271709
"C59.3",17.133627827959,19.1383766710869,17.175992135661,14.6261045293458,14.8029643363442,19.0220802686663,20.216688500477,21.086334450169,17.3779539305195,19.8754998138715,14.1748655387956,21.3287038810325,23.0167430958637,18.5007804438174,18.2157191108519,20.1727888696873,24.8725079844805,15.0106047070232,18.0602469040176,19.1240776236671,17.1880617709964,20.0971650418158,20.1052786703515,15.4558487096932,18.6021980459266,18.7660831445731,16.5237333521721,16.9981897706143,21.3626970836616,21.1006272546884,16.4352293290475,22.5903550672404,18.8595438851792,16.1234270594219,18.4268929752949,17.3798044589317,14.1565569876367,18.6716913978701,15.0479813326072,23.6408083249742,15.3559916428652,20.3493058787509,19.0223915645705,18.541702117838,14.5422819374228,18.6410811207912,21.7345092148201,18.2799900676068,16.7620084248195,17.6121150297864,15.2453377557107,21.7178375517,18.6749655218216,13.4548963904159,20.0671739415779,14.3885697370341,16.8819781826787,16.4420858914464,15.08630436347,19.3300353877956,19.8811946040645,26.1365170247902,15.5843396418198,26.4607225527374,15.1853576257691,15.9206234818937,22.6392340861725,18.638824443416
"C61.1",17.4928380877608,18.656050752793,17.1707142273077,14.2318511852065,14.848056635722,19.5527107140087,20.2308696717145,20.1086560504965,15.8529014761557,19.7233430912535,14.1593284999576,17.7287517833684,23.1960116154818,18.4741778709885,18.4095481940662,17.5420276514052,25.1623928168386,15.6920335103964,20.0523317321731,19.0240235491301,18.6201381313338,18.8929722724816,19.4303078715702,15.5605532650254,18.6794099766465,18.5352387827883,15.7487263148653,16.9468597381853,22.1337822399996,20.6337758765878,16.2458939598436,23.8588901459882,19.7670101849115,16.1282438765853,18.5665243500198,14.9781967875817,13.9474141869227,19.3531985100792,14.2180595067822,22.6876788798304,16.3598626192294,20.8405327761502,19.2891187697818,18.9489279040346,15.7620634693447,18.5801765379969,18.7882480388802,18.7694194747552,16.6293578625137,15.5609140113744,14.613657335868,22.7013145523976,18.8099681962466,12.3369663855542,19.6925950162951,14.2804409270695,16.6747412320387,14.942281100568,10.3291777580829,18.7118210721844,19.0663449484944,26.8537934622548,15.6760610441597,26.4401122928589,14.798753442375,15.7588483093967,22.5497928093954,19.506716108504
"C61.2",16.0038332362998,17.7767894438683,16.7562722419867,13.9060954664369,14.4549142144184,19.8880374815104,19.5814204643962,20.3265213472264,15.5448014827476,19.2060755319351,13.7514766598722,17.7387316434493,22.7767635878529,17.7193510924879,17.982246631374,17.7514556926693,25.2081218755513,15.3142569127338,22.2156543355606,18.2560929510673,17.7370597779528,18.8054726116241,18.7212310159909,15.3986269181573,18.7326836508081,18.5646411049395,15.9695057733573,16.1565225206169,21.1641041979578,19.4428342657678,15.8795526938542,22.3261922752432,18.6656806661914,16.4861545483382,18.4516118977619,15.2288564802157,13.6193054793292,19.3556851468964,13.3368177255855,22.2108055851741,22.9541790700171,20.2653314652443,18.9339265793688,18.3959918975186,13.620177964365,18.9858218987095,18.5146693336407,18.2860309676054,15.925018459855,15.4089269572683,13.3047581076212,22.3570040067919,18.4020044488603,13.0895656304123,19.3997062481325,11.1987542371328,16.7129423485678,15.2955390168652,11.1561841037504,17.7722238600608,18.8422421857334,26.289451314577,15.4837403033847,26.3175566655352,14.5222195103771,15.7979253398887,21.6391100653302,19.089560647259
"C61.3",16.5786097206342,18.1459256842268,17.7635673742,14.0598672519695,14.7483303797591,20.6958036950604,20.8269731253661,20.5541704350533,14.8614085222061,19.1690472397919,14.5150866453103,18.1816686625576,23.5005428677673,17.4623464791671,18.7757422351053,17.4367495941748,25.3575631855927,15.7911840480585,21.4178462712991,18.4297666137858,18.747129995439,18.1518081719099,16.9817800739286,14.8754755794953,18.9294316835336,19.1063449951246,16.2689389369493,16.4871228093672,22.4516610820414,20.1142977564115,15.8310706047242,23.4866632083873,19.6185597131507,16.3434937851642,18.7708184595282,15.1241654539643,14.5482865662892,20.0143205536135,13.5834541002267,22.9009365725385,16.2955812951453,20.7390814465522,19.1198636379057,19.0510274763487,14.976013238634,18.9013697978191,18.9973731503106,18.838214047101,15.7004958429868,16.2561313756787,14.6076636065714,23.0779065907362,18.7839240963452,14.0690986507264,19.4474423923807,14.3144409141749,17.6318319027329,15.6704781582305,12.6075055370586,19.2350904988358,19.5665627937065,26.9673444898012,15.5434169030201,26.4218968230083,14.6436525200637,15.6794635075722,22.1203324632554,19.6820329511234
"C62.1",16.7340308536711,18.240226426683,17.0047587134504,14.0256898163669,15.0345899734278,20.9381320634111,20.0487462408876,21.2424230418963,15.6454252820681,19.213279156618,14.240463444438,17.5051606346687,23.440185891367,17.8696379021493,18.2523809908168,17.8682759293023,25.2531220333864,15.6716137553725,18.7079888079108,18.4540341824227,17.6665293790807,19.2136932588451,18.6030327167161,14.7469376051289,18.9241505017809,18.7299854480173,15.9035649158601,16.3428994267797,21.7654377110365,20.2376021426667,16.0081222040886,22.9985212878053,19.2710685426927,16.5391569002162,18.4652980151803,15.8668708576296,13.8945416416778,19.5563214249089,15.2365547715861,23.1477385364927,15.4838494668563,20.2895971759407,18.8969183221577,18.2500908231907,14.8083476125009,18.6349200887555,18.785630231662,18.0827133734774,16.471126755753,16.1956516298631,13.3434481840271,22.866288223292,18.7657373052447,13.5123306002369,19.7777817453424,14.083349655394,16.799860463891,15.4739702223022,10.9986889905315,18.789954548339,19.9697753242726,26.2474773191835,15.7711130379835,26.4280708430807,14.994986645431,15.8764923510822,21.8751489042164,19.556371610038
"C62.2",17.3332728111246,19.3173298294601,17.3075890502928,14.8136976125378,15.1973700392952,20.8913818323406,20.6346152305152,21.0497821164865,17.3528865843369,19.3190144146525,14.4922339677325,20.6880733901702,23.2295700585778,16.8316701658981,18.4256854592217,19.7124492808046,25.0086016230656,15.5287030951311,22.0870577949105,18.5619776622079,19.6264426958324,19.6964468348862,19.1473254462309,15.8049863471728,18.5438805513334,20.2325970515473,16.3704277035665,17.6483499923158,21.4624717254804,20.6842003683888,15.7946388963126,23.2201630836987,19.5638466978754,16.1395608267164,18.3596304480085,17.124018801397,14.8030952548452,19.2324226169566,15.7638205911169,23.8876400871776,16.8546634636461,20.7281947345113,19.7279133879654,19.5945953961665,14.8271088072882,18.2114593407579,21.6778017854095,19.3523210358656,16.8250881701312,17.994123957253,14.6051506699978,24.4036009793124,19.0630222957824,14.1048384965111,19.5218157588051,15.61290595612,16.3186802312724,16.5136095335238,14.8152383109312,20.2618134824845,20.6393859007601,26.5533773955398,15.6249061897351,26.3248790893426,14.5837637428433,15.7231483505746,23.5671117017325,21.1215633328138
"C62.3",17.0856251821482,18.8592908054164,17.0716996249325,14.5211575567139,14.8573916299521,19.8104452491882,20.6680311207084,21.3004206244663,17.9980208958991,19.8088214039007,14.2839615018509,21.0086636901299,23.0852912394397,17.9631370532585,18.4453010574486,19.9116166057684,25.2451685809206,15.6432339952906,20.3479619942085,18.8348052543573,18.9046822089712,20.7804189993628,20.4996901917813,15.6021241072878,18.9290828431036,19.0078354109978,15.9934003703391,17.6345263865868,21.8735158695245,20.974432345107,15.9584340248564,22.6413749093888,19.203125278034,16.583987346624,18.6609817255475,17.5898127084558,14.5683136831268,19.2974980465837,16.1134792954309,24.0479843009814,16.6585367580774,20.7884643720028,19.9175827962732,19.2322634204711,14.5425969028585,18.7520565610688,21.5561001636163,19.1332978253187,16.5522293289191,18.0267097093055,15.1891688670457,22.8364553937188,18.8915254358702,14.0062600635391,19.8272001987112,13.9495808870075,16.9242359523314,16.7336200029527,15.1325850438624,19.7289225961731,21.6916805814756,26.7822089381282,15.8139483069915,26.3502375656635,15.2210498371938,16.0654717687021,23.3249978875963,19.5003975586445
"HF58.1",17.7812331247845,19.6973259482355,17.0825705769664,14.8906555031095,15.378846405219,21.472324949687,19.6952257172369,20.6535392180239,18.3822817730572,19.6217779563169,14.3679585562539,21.1917229007218,23.3029607375362,17.9332873309674,18.1018934241823,20.2001444960534,24.9852114882119,15.7118826985345,18.6798442258064,18.5657204139759,16.8938057141544,20.8560274429927,20.6829686169715,16.2558799187605,18.6495901854329,20.0925540856108,16.5180165796345,17.5628348333002,21.2557064471463,21.1567817584974,16.3640999422417,21.8967529452805,18.2294666625487,16.6745453216814,18.8315260577491,17.9143506740131,14.6421734739152,18.4165741632804,16.5456433194515,23.9927554751034,16.6264797661152,20.645514412277,19.6462347049354,19.7168684200459,15.3298011939644,18.4859228140591,22.1198981865059,19.5695141747196,16.1850024995108,19.1558331060663,15.7253821326908,24.2634663675019,18.7364371252383,14.2404517897587,19.8606825679964,14.1198897964749,17.9159474043443,16.8362471651541,15.7680179057219,20.347865705165,20.2856983085518,25.9635599130103,15.6683750001493,26.4467043002624,15.0479973561375,15.7896485530437,23.4074680491965,21.0708723873141
